uberon_id,mesh_id,uberon_labels,mesh_labels
UBERON_0000002,D002584,canalis cervicis uteri; caudal segment of uterus; cervical canal; cervical canal of uterus; cervix; cervix of uterus; cervix uteri; neck of uterus; uterine cervix,"canal, endocervical; canal, uterine cervical; cervical canal of the uterus; cervical canal, uterine; cervix; cervix uteri; cervix, external os; cervix, uterine; cervixes; ectocervix; endocervical canal; endocervical canals; endocervix; external os cervix; external os of the cervix; uterine cervical canal; uterine cervical canals; uterine cervix"
UBERON_0000004,D009666,nasal sac; nasus; nose; olfactory apparatus; peripheral olfactory organ; proboscis,"external nose; external noses; nose; nose, external; noses; noses, external"
UBERON_0000006,D007515,island of langerhans; island of pancreas; islet of langerhans; islets of langerhans; pancreatic insula; pancreatic islet,"cell, islet; cells, islet; endocrine pancreas; islands of langerhans; islet cell; islet cells; islet, pancreatic; islets of langerhans; islets, pancreatic; langerhans islands; langerhans islets; nesidioblast; nesidioblasts; pancreas, endocrine; pancreatic islet; pancreatic islets"
UBERON_0000007,D010902,glandula pituitaria; hp; hypophysis; hypophysis cerebri; pituitary; pituitary body; pituitary gland,"cerebri, hypophysis; cerebrus, hypophysis; gland, pituitary; glands, pituitary; hypophyseal infundibulum; hypophyseal stalk; hypophyseal stalks; hypophyses; hypophysis; hypophysis cerebri; hypophysis cerebrus; hypothalamus, infundibular; infundibulum a; infundibular hypothalamus; infundibular stalk; infundibular stalks; infundibular stem; infundibulum; infundibulum (hypophysis); infundibulum, hypophyseal; infundibulums; pituitary gland; pituitary glands; pituitary stalk; pituitary stalks; stalk, hypophyseal; stalk, infundibular; stalks, hypophyseal; stalks, infundibular"
UBERON_0000010,D017933,pars peripherica; peripheral nervous system; pns; systema nervosum periphericum,"nervous system, peripheral; nervous systems, peripheral; peripheral nervous system; peripheral nervous systems; system, peripheral nervous; systems, peripheral nervous"
UBERON_0000011,D010275,parasympathetic nervous system; parasympathetic part of autonomic division of nervous system; pars parasympathica divisionis autonomici systematis nervosi; pns - parasympathetic,"nervous system, parasympathetic; nervous systems, parasympathetic; parasympathetic nervous system; parasympathetic nervous systems; system, parasympathetic nervous; systems, parasympathetic nervous"
UBERON_0000013,D013564,pars sympathica divisionis autonomici systematis nervosi; sympathetic nervous system; sympathetic part of autonomic division of nervous system,"nervous system, sympathetic; nervous systems, sympathetic; sympathetic nervous system; sympathetic nervous systems; system, sympathetic nervous; systems, sympathetic nervous"
UBERON_0000014,D012867,portion of skin; region of skin; skin; skin region; skin zone; zone of skin,skin
UBERON_0000017,D046790,exocrine component of pancreas; exocrine pancreas; exocrine part of pancreas; pars exocrina pancreatis,"exocrine pancreas; pancreas, exocrine"
UBERON_0000019,D005123,camera-type eye; camera-type eye plus associated structures; eye; eyes; orbital part of face; orbital region; regio orbitalis; vertebrate eye,eye; eyes
UBERON_0000020,D012679,organ of sense organ system; organ of sensory organ system; organ of sensory system; sense organ; sense organ system organ; sensillum; sensor; sensory organ; sensory organ system organ; sensory system organ; sinnesorgan,"organ, sense; sense organ; sense organs; sensory system; sensory systems; system, sensory"
UBERON_0000022,D005241,feather,feather; feathers
UBERON_0000023,D014921,aliform appendage; wing,"animal wing; animal wings; wing, animal; wings, animal"
UBERON_0000026,D005121,appendage; appendages; extremitaet; extremity; limbs/digits/tail,extremities; extremity; limb; limbs
UBERON_0000029,D008198,lymph gland; lymph node; nodus lymphaticus,"lymph node; lymph nodes; node, lymph; nodes, lymph"
UBERON_0000030,D009092,lamina propria; lamina propria mucosa; lamina propria mucosae; tunica propria,"lamina propria; membrane, mucous; membranes, mucous; mucosa; mucosae, muscularis; mucosal tissue; mucosal tissues; mucous membrane; mucous membranes; muscularis mucosae; propria, lamina; tissue, mucosal; tissues, mucosal"
UBERON_0000033,D006257,adult head; cephalic area; head; head (volume),head; heads
UBERON_0000037,D006080,antral follicle; antral ovarian follicle; folliculi ovarici vesiculosi; folliculus ovaricus tertiarius; folliculus ovaricus tertiarius (vesiculosus); folliculus ovaricus tertiarius (vesiculous); graafian follicle; ovary antral follicle; tertiary egg follicle; tertiary follicle of ovary; tertiary ovarian follicle; vesicular follicle of ovary; vesicular ovarian follicle,"atretic follicle; atretic follicles; follicle, atretic; follicle, graafian; follicle, ovarian; follicles, atretic; follicles, graafian; follicles, ovarian; graafian follicle; graafian follicles; ovarian follicle; ovarian follicles"
UBERON_0000038,D015571,"antral fluid, ovarian follicle; follicular fluid; liquor follicularis; liquor folliculi; ovarian follicular fluid; ovary follicle fluid; ovary follicular fluid","antral fluid, ovarian follicle; fluid, follicular; follicular fluid; follicular fluids; folliculi, liquor; liquor folliculi"
UBERON_0000042,D012704,serosa; serous membrane; tunica serosa; wall of serous sac,"membrane, serous; membranes, serous; serosa; serous membrane; serous membranes"
