source,target,rank,score
UBERON_0000002,M0003947,1,0.9205885446503366
UBERON_0000002,M0022439,2,0.8493562426722886
UBERON_0000002,M0022473,3,0.8240059140495808
UBERON_0000006,M0011741,1,0.9221295179420201
UBERON_0000006,M0029492,2,0.8026942436398442
UBERON_0000006,M0011742,3,0.8120226079087153
UBERON_0000009,M0020671,1,0.645955099888471
UBERON_0000009,M0012229,2,0.6331545553154903
UBERON_0000009,M0011572,3,0.7169787556743028
UBERON_0000010,M0027092,1,0.9260544440649017
UBERON_0000010,M0026867,2,0.8131505766769883
UBERON_0000010,M0015922,3,0.7954285738748261
UBERON_0000014,M0019925,1,0.8770053605020257
UBERON_0000014,M0030055,2,0.8613906392485439
UBERON_0000014,M0007554,3,0.8332364861275976
UBERON_0000016,M0011741,1,0.9087852307752727
UBERON_0000016,M0011743,2,0.8034740460047032
UBERON_0000016,M0011742,3,0.8735300326240373
UBERON_0000017,M0015790,1,0.8136839466176249
UBERON_0000017,M0336842,2,0.8613227241555379
UBERON_0000017,M0020540,3,0.6642160243013244
UBERON_0000019,M0008082,1,0.8112440686890047
UBERON_0000019,M0018939,2,0.7634275708837257
UBERON_0000019,M0515670,3,0.739859856445054
UBERON_0000020,M0018618,1,0.8304203633300312
UBERON_0000020,M0454726,2,0.7046586220519351
UBERON_0000020,M0013162,3,0.6750185332630928
UBERON_0000025,M0021743,1,0.6193395419777505
UBERON_0000025,M0002961,2,0.5918968681866699
UBERON_0000025,M0004808,3,0.5909057677633831
UBERON_0000026,M0473619,1,0.5906396613899242
UBERON_0000026,M0019469,2,0.5486460003721946
UBERON_0000026,M0001611,3,0.6060492233763691
UBERON_0000029,M0012815,1,0.8496454552804001
UBERON_0000029,M0012781,2,0.8844379443463753
UBERON_0000029,M0012796,3,0.8070696929195882
UBERON_0000030,M0011572,1,0.8033532455116472
UBERON_0000030,M0009010,2,0.8072855829262369
UBERON_0000030,M0016442,3,0.6700370184637314
UBERON_0000033,M0001913,1,0.652910472320783
UBERON_0000033,M0019053,2,0.6662769710302412
UBERON_0000033,M0019947,3,0.7029786373968451
UBERON_0000035,M0009571,1,0.8433992126304268
UBERON_0000035,M0015307,2,0.7972088965028563
UBERON_0000035,M0009617,3,0.8043330905388516
UBERON_0000036,M0009571,1,0.8642011739605556
UBERON_0000036,M0508604,2,0.7718468845578443
UBERON_0000036,M0009617,3,0.7975499468719344
UBERON_0000038,M0023922,1,0.9050012222104147
UBERON_0000038,M0009571,2,0.8064766909641078
UBERON_0000038,M0508604,3,0.7396107154661494
UBERON_0000039,M0009571,1,0.8508794873955152
UBERON_0000039,M0009617,2,0.7354011562699686
UBERON_0000039,M0023922,3,0.7877471642590695
UBERON_0000042,M0026599,1,0.6575015242554644
UBERON_0000042,M0016307,2,0.662635870923938
UBERON_0000042,M0456567,3,0.7057745980395849
UBERON_0000044,M0008981,1,0.8870317053366901
UBERON_0000044,M0027111,2,0.8826407618815671
UBERON_0000044,M0020321,3,0.8282227207860366
UBERON_0000045,M0008978,1,0.8472908411379934
UBERON_0000045,M0027111,2,0.7366010775646674
UBERON_0000045,M0027114,3,0.7431827855650976
UBERON_0000047,M0016754,1,0.733399427217311
UBERON_0000047,M0515670,2,0.6981758276342338
UBERON_0000047,M0008082,3,0.7340277249529462
UBERON_0000052,M0328482,1,0.848950477732843
UBERON_0000052,M0593298,2,0.6916628407176473
UBERON_0000052,M0593321,3,0.7324015733901942
UBERON_0000055,M0002726,1,0.8529021428792571
UBERON_0000055,M0001731,2,0.7672533312240019
UBERON_0000055,M0022581,3,0.7765565066823947
UBERON_0000056,M0022322,1,0.9318676670465552
UBERON_0000056,M0012023,2,0.7901133873073555
UBERON_0000056,M0022372,3,0.8133204105321415
UBERON_0000057,M0022331,1,0.9241543961270265
UBERON_0000057,M0002628,2,0.7779510135568167
UBERON_0000057,M0022372,3,0.798743474105018
UBERON_0000058,M0015796,1,0.7588764063743281
UBERON_0000058,M0007146,2,0.7395164915736311
UBERON_0000058,M0002482,3,0.7307893754584677
UBERON_0000059,M0011584,1,0.8533835617421917
UBERON_0000059,M0439054,2,0.8447933365795993
UBERON_0000059,M0011586,3,0.8441458280450432
UBERON_0000060,M0011572,1,0.7090265049690031
UBERON_0000060,M0004808,2,0.6666780878718632
UBERON_0000060,M0456567,3,0.72642505198064
UBERON_0000061,M0019083,1,0.5112135271611525
UBERON_0000061,M0019920,2,0.5135117145154782
UBERON_0000062,M0015790,1,0.6055384984584282
UBERON_0000062,M0456567,2,0.6450704668104656
UBERON_0000062,M0012632,3,0.6069705273085189
UBERON_0000063,M0456567,1,0.5686526803205483
UBERON_0000063,M0027263,2,0.5779940718297498
UBERON_0000063,M0454726,3,0.5633970116870659
UBERON_0000064,M0005720,1,0.539698381671153
UBERON_0000064,M0022032,2,0.5484073789631334
UBERON_0000064,M0456567,3,0.6393276910711972
UBERON_0000065,M0018913,1,0.802922172174571
UBERON_0000065,M0328056,2,0.8103414620759161
UBERON_0000065,M0002960,3,0.8260531588459611
UBERON_0000072,M0002962,1,0.6633624042775519
UBERON_0000072,M0021743,2,0.6744371472516637
UBERON_0000072,M0002961,3,0.6822033223455866
UBERON_0000073,M0003801,1,0.7292816171126235
UBERON_0000073,M0029077,2,0.6770077232843494
UBERON_0000073,M0002886,3,0.6858083996013499
UBERON_0000074,M0555122,1,0.8611346357421682
UBERON_0000074,M0012018,2,0.9231731963709974
UBERON_0000074,M0473246,3,0.8464229680625862
UBERON_0000075,M0019920,1,0.7675549865809105
UBERON_0000075,M0019702,2,0.7247031936782277
UBERON_0000075,M0011865,3,0.7695412261390112
UBERON_0000077,M0011572,1,0.6247726880727379
UBERON_0000077,M0456567,2,0.697713980184463
UBERON_0000077,M0443760,3,0.5806659557861675
UBERON_0000079,M0022532,1,0.8646665813139475
UBERON_0000079,M0007559,2,0.8323892292771444
UBERON_0000079,M0009164,3,0.9114131176783684
UBERON_0000086,M0023153,1,0.8729427449810466
UBERON_0000086,M0000267,2,0.727998836508933
UBERON_0000086,M0023163,3,0.7494490876148672
UBERON_0000093,M0016831,1,0.5672195930692384
UBERON_0000093,M0006892,2,0.5526769409660754
UBERON_0000093,M0013361,3,0.5805657056257266
UBERON_0000094,M0456567,1,0.6141930070138467
UBERON_0000094,M0006892,2,0.6470285932082477
UBERON_0000094,M0020308,3,0.6051510528895723
