cl_id,mesh_id,cl_labels,mesh_labels
"""CL_0000000""","""D002477""","""cell""","""cell; cells"""
"""CL_0000010""","""D002460""","""cultured cell""","""cell line; cell lines; line, cell; lines, cell"""
"""CL_0000010""","""D002478""","""cultured cell""","""cell, cultured; cells, cultured; cultured cell; cultured cells"""
"""CL_0000015""","""D013094""","""male germ cell""","""sperm; sperm, x-bearing; sperm, x-chromosome-bearing; sperm, y-bearing; sperm, y-chromosome-bearing; spermatozoa; spermatozoon; sperms, x-bearing; sperms, x-chromosome-bearing; sperms, y-bearing; sperms, y-chromosome-bearing; x bearing sperm; x chromosome bearing sperm; x-bearing sperm; x-bearing sperms; x-chromosome-bearing sperm; x-chromosome-bearing sperms; y bearing sperm; y chromosome bearing sperm; y-bearing sperm; y-bearing sperms; y-chromosome-bearing sperm; y-chromosome-bearing sperms"""
"""CL_0000017""","""D013090""","""spermatocyte""","""spermatocyte; spermatocytes; spermiocyte; spermiocytes"""
"""CL_0000018""","""D013087""","""nematoblast; spermatid""","""spermatid; spermatids; spermatoblast; spermatoblasts"""
"""CL_0000019""","""D012661""","""sperm; sperm cell; spermatozoid; spermatozoon""","""plasma, seminal; semen; seminal plasma"""
"""CL_0000019""","""D013094""","""sperm; sperm cell; spermatozoid; spermatozoon""","""sperm; sperm, x-bearing; sperm, x-chromosome-bearing; sperm, y-bearing; sperm, y-chromosome-bearing; spermatozoa; spermatozoon; sperms, x-bearing; sperms, x-chromosome-bearing; sperms, y-bearing; sperms, y-chromosome-bearing; x bearing sperm; x chromosome bearing sperm; x-bearing sperm; x-bearing sperms; x-chromosome-bearing sperm; x-chromosome-bearing sperms; y bearing sperm; y chromosome bearing sperm; y-bearing sperm; y-bearing sperms; y-chromosome-bearing sperm; y-chromosome-bearing sperms"""
"""CL_0000020""","""D013093""","""spermatogonial cell; spermatogonium""","""spermatogonia; spermatogonias; spermatophore; spermatophores"""
"""CL_0000023""","""D009865""","""oocyte; oogonium""","""oocyte; oocytes; ovocyte; ovocytes"""
"""CL_0000023""","""D010063""","""oocyte; oogonium""","""egg; egg, unfertilized; eggs, unfertilized; ova; ovum; unfertilized egg; unfertilized eggs"""
"""CL_0000024""","""D009867""","""oogonial cell""","""oogonia"""
"""CL_0000025""","""D010063""","""egg cell; mature oocyte; ovum""","""egg; egg, unfertilized; eggs, unfertilized; ova; ovum; unfertilized egg; unfertilized eggs"""
"""CL_0000034""","""D013234""","""animal stem cell; stem cell""","""cell, mother; cell, progenitor; cell, stem; cells, mother; cells, progenitor; cells, stem; colony forming unit; colony forming units; colony-forming unit; colony-forming units; mother cell; mother cells; progenitor cell; progenitor cells; stem cell; stem cells"""
"""CL_0000037""","""D006412""","""blood forming stem cell; colony forming unit hematopoietic; hematopoietic stem cell; hemopoietic stem cell; hsc""","""cell, hematopoietic progenitor; cell, hematopoietic stem; cells, hematopoietic progenitor; cells, hematopoietic stem; colony forming units, hematopoietic; colony-forming unit, hematopoietic; colony-forming units, hematopoietic; hematopoietic colony-forming unit; hematopoietic colony-forming units; hematopoietic progenitor cell; hematopoietic progenitor cells; hematopoietic stem cell; hematopoietic stem cells; progenitor cell, hematopoietic; progenitor cells, hematopoietic; stem cell, hematopoietic; stem cells, hematopoietic; unit, hematopoietic colony-forming; units, hematopoietic colony-forming"""
