subject_id,subject_label,predicate_id,object_id,object_label,similarity_score,comment,mapping_justification
https://identifiers.org/pubmed:10051456,T cells and aging (update february 1999).,skos:relatedMatch,http://purl.obolibrary.org/obo/CL_0002420,immature T cell,0.5066384535949036,,semapv:SemanticSimilarityThresholdMatching
https://identifiers.org/pubmed:10051456,T cells and aging (update february 1999).,skos:relatedMatch,http://purl.obolibrary.org/obo/CL_0002419,mature T cell,0.5041832155336062,,semapv:SemanticSimilarityThresholdMatching
https://identifiers.org/pubmed:10077538,Integrins and human intestinal cell functions.,skos:relatedMatch,http://purl.obolibrary.org/obo/CL_4052007,subepithelial intestinal fibroblast,0.6046741280349825,,semapv:SemanticSimilarityThresholdMatching
https://identifiers.org/pubmed:10077538,Integrins and human intestinal cell functions.,skos:relatedMatch,http://purl.obolibrary.org/obo/UBERON_2001324,enteric musculature,0.5291990607343989,,semapv:SemanticSimilarityThresholdMatching
https://identifiers.org/pubmed:10077538,Integrins and human intestinal cell functions.,skos:relatedMatch,http://purl.obolibrary.org/obo/CL_0002563,intestinal epithelial cell,0.5272671788778134,,semapv:SemanticSimilarityThresholdMatching
https://identifiers.org/pubmed:10077538,Integrins and human intestinal cell functions.,skos:relatedMatch,http://purl.obolibrary.org/obo/CL_0000131,gut endothelial cell,0.508973585556825,,semapv:SemanticSimilarityThresholdMatching
https://identifiers.org/pubmed:10077538,Integrins and human intestinal cell functions.,skos:relatedMatch,http://purl.obolibrary.org/obo/CL_4052005,intestinal subserosal fibroblast,0.5031429063791868,,semapv:SemanticSimilarityThresholdMatching
https://identifiers.org/pubmed:10077541,Lineage commitment and maturation of epithelial cells in the gut.,skos:relatedMatch,http://purl.obolibrary.org/obo/CL_0009043,intestinal crypt stem cell of colon,0.692877387313475,,semapv:SemanticSimilarityThresholdMatching
https://identifiers.org/pubmed:10077541,Lineage commitment and maturation of epithelial cells in the gut.,skos:relatedMatch,http://purl.obolibrary.org/obo/CL_0009028,intestinal crypt stem cell of appendix,0.6741117121488409,,semapv:SemanticSimilarityThresholdMatching
https://identifiers.org/pubmed:10077541,Lineage commitment and maturation of epithelial cells in the gut.,skos:relatedMatch,http://purl.obolibrary.org/obo/CL_0009017,intestinal crypt stem cell of small intestine,0.6586990491844086,,semapv:SemanticSimilarityThresholdMatching
