source,target,rank,score
UBERON_0000946,M0009974,1,0.8940728296765138
UBERON_0000946,M0021947,2,0.8150017908449574
UBERON_0000946,M0018141,3,0.8195595945630245
UBERON_0000948,M0009975,1,0.8135645999556751
UBERON_0000948,M0009936,2,0.8403655079034166
UBERON_0000948,M0009941,3,0.799070767667162
UBERON_0001621,M0001553,1,0.6094829169796714
UBERON_0001621,M0009936,2,0.618868362448504
UBERON_0001621,M0022051,3,0.595167525356883
UBERON_0001625,M0001553,1,0.5663671929968103
UBERON_0001625,M0022051,2,0.557150024341188
UBERON_0001625,M0009975,3,0.5418724972807027
UBERON_0001626,M0001553,1,0.6447237020725185
UBERON_0001626,M0022051,2,0.6533863917444138
UBERON_0001626,M0009975,3,0.6185370729557618
UBERON_0002078,M0009975,1,0.7920254457531641
UBERON_0002078,M0009941,2,0.8094073498931945
UBERON_0002078,M0501516,3,0.7319372743174066
UBERON_0002079,M0009941,1,0.8085690610745633
UBERON_0002079,M0009975,2,0.7693486078387044
UBERON_0002079,M0009974,3,0.7472883258955433
UBERON_0002080,M0009941,1,0.7601497776989817
UBERON_0002080,M0009936,2,0.7621228627204019
UBERON_0002080,M0009975,3,0.9067062957853542
UBERON_0002081,M0009941,1,0.8932504870883781
UBERON_0002081,M0501516,2,0.8046971957686497
UBERON_0002081,M0009936,3,0.7969074768024615
UBERON_0002082,M0009941,1,0.8611670164745443
UBERON_0002082,M0501517,2,0.8196042310674297
UBERON_0002082,M0009975,3,0.8849691563954624
UBERON_0002084,M0009936,1,0.7652765332572217
UBERON_0002084,M0009975,2,0.8826005082616667
UBERON_0002084,M0018141,3,0.7251159288883228
UBERON_0002094,M0009969,1,0.9083298968696955
UBERON_0002094,M0501517,2,0.8692079192397241
UBERON_0002094,M0501516,3,0.8013958223413309
UBERON_0002099,M0501516,1,0.887471361202017
UBERON_0002099,M0009969,2,0.9446123087849925
UBERON_0002099,M0501517,3,0.9003007343832454
UBERON_0002133,M0013957,1,0.8390031047312286
UBERON_0002133,M0009974,2,0.8064187378729374
UBERON_0002133,M0001553,3,0.7980253606040277
UBERON_0002134,M0021947,1,0.909117855845288
UBERON_0002134,M0018141,2,0.8095626502885519
UBERON_0002134,M0013957,3,0.7460087563284254
UBERON_0002135,M0018141,1,0.7904660212403409
UBERON_0002135,M0009974,2,0.7892762191273888
UBERON_0002135,M0013957,3,0.9308324400281729
UBERON_0002137,M0001553,1,0.8463498109042826
UBERON_0002137,M0021947,2,0.8135232999028511
UBERON_0002137,M0009974,3,0.7508221955628225
UBERON_0002146,M0018141,1,0.8707990416973521
UBERON_0002146,M0009974,2,0.7907265613638775
UBERON_0002146,M0013957,3,0.7173498687575303
UBERON_0002348,M0016307,1,0.8444436632061093
