iri,missing-uberon_human_set,iri_in_UBERON-humanset
http://purl.obolibrary.org/obo/UBERON_0000002,0,1
http://purl.obolibrary.org/obo/UBERON_0000004,0,1
http://purl.obolibrary.org/obo/UBERON_0000006,0,1
http://purl.obolibrary.org/obo/UBERON_0000007,0,1
http://purl.obolibrary.org/obo/UBERON_0000010,0,1
http://purl.obolibrary.org/obo/UBERON_0000011,0,1
http://purl.obolibrary.org/obo/UBERON_0000013,0,1
http://purl.obolibrary.org/obo/UBERON_0000017,0,1
http://purl.obolibrary.org/obo/UBERON_0000029,0,1
http://purl.obolibrary.org/obo/UBERON_0000038,0,1
http://purl.obolibrary.org/obo/UBERON_0000043,0,1
http://purl.obolibrary.org/obo/UBERON_0000044,0,1
http://purl.obolibrary.org/obo/UBERON_0000045,0,1
http://purl.obolibrary.org/obo/UBERON_0000052,0,1
http://purl.obolibrary.org/obo/UBERON_0000053,0,1
http://purl.obolibrary.org/obo/UBERON_0000056,0,1
http://purl.obolibrary.org/obo/UBERON_0000057,0,1
http://purl.obolibrary.org/obo/UBERON_0000059,0,1
http://purl.obolibrary.org/obo/UBERON_0000074,0,1
http://purl.obolibrary.org/obo/UBERON_0000086,0,1
http://purl.obolibrary.org/obo/UBERON_0000088,0,1
http://purl.obolibrary.org/obo/UBERON_0000106,0,1
http://purl.obolibrary.org/obo/UBERON_0000127,0,1
http://purl.obolibrary.org/obo/UBERON_0000128,0,1
http://purl.obolibrary.org/obo/UBERON_0000159,0,1
http://purl.obolibrary.org/obo/UBERON_0000160,0,1
http://purl.obolibrary.org/obo/UBERON_0000165,0,1
http://purl.obolibrary.org/obo/UBERON_0000178,0,1
http://purl.obolibrary.org/obo/UBERON_0000201,0,1
http://purl.obolibrary.org/obo/UBERON_0000209,0,1
http://purl.obolibrary.org/obo/UBERON_0000210,0,1
http://purl.obolibrary.org/obo/UBERON_0000211,0,1
http://purl.obolibrary.org/obo/UBERON_0000220,0,1
http://purl.obolibrary.org/obo/UBERON_0000310,0,1
http://purl.obolibrary.org/obo/UBERON_0000315,0,1
http://purl.obolibrary.org/obo/UBERON_0000348,0,1
http://purl.obolibrary.org/obo/UBERON_0000349,0,1
http://purl.obolibrary.org/obo/UBERON_0000362,0,1
http://purl.obolibrary.org/obo/UBERON_0000369,0,1
http://purl.obolibrary.org/obo/UBERON_0000375,0,1
http://purl.obolibrary.org/obo/UBERON_0000377,0,1
http://purl.obolibrary.org/obo/UBERON_0000382,0,1
http://purl.obolibrary.org/obo/UBERON_0000387,0,1
http://purl.obolibrary.org/obo/UBERON_0000388,0,1
http://purl.obolibrary.org/obo/UBERON_0000389,0,1
http://purl.obolibrary.org/obo/UBERON_0000390,0,1
http://purl.obolibrary.org/obo/UBERON_0000395,0,1
http://purl.obolibrary.org/obo/UBERON_0000411,0,1
http://purl.obolibrary.org/obo/UBERON_0000416,0,1
http://purl.obolibrary.org/obo/UBERON_0000423,0,1
http://purl.obolibrary.org/obo/UBERON_0000432,0,1
http://purl.obolibrary.org/obo/UBERON_0000446,0,1
http://purl.obolibrary.org/obo/UBERON_0000451,0,1
http://purl.obolibrary.org/obo/UBERON_0000460,0,1
http://purl.obolibrary.org/obo/UBERON_0000473,0,1
http://purl.obolibrary.org/obo/UBERON_0000569,0,1
http://purl.obolibrary.org/obo/UBERON_0000911,0,1
http://purl.obolibrary.org/obo/UBERON_0000935,0,1
http://purl.obolibrary.org/obo/UBERON_0000936,0,1
http://purl.obolibrary.org/obo/UBERON_0000941,0,1
http://purl.obolibrary.org/obo/UBERON_0000945,0,1
http://purl.obolibrary.org/obo/UBERON_0000946,0,1
http://purl.obolibrary.org/obo/UBERON_0000947,0,1
http://purl.obolibrary.org/obo/UBERON_0000948,0,1
http://purl.obolibrary.org/obo/UBERON_0000950,0,1
http://purl.obolibrary.org/obo/UBERON_0000955,0,1
http://purl.obolibrary.org/obo/UBERON_0000956,0,1
http://purl.obolibrary.org/obo/UBERON_0000959,0,1
http://purl.obolibrary.org/obo/UBERON_0000964,0,1
http://purl.obolibrary.org/obo/UBERON_0000965,0,1
http://purl.obolibrary.org/obo/UBERON_0000966,0,1
http://purl.obolibrary.org/obo/UBERON_0000970,0,1
http://purl.obolibrary.org/obo/UBERON_0000975,0,1
http://purl.obolibrary.org/obo/UBERON_0000976,0,1
http://purl.obolibrary.org/obo/UBERON_0000977,0,1
http://purl.obolibrary.org/obo/UBERON_0000979,0,1
http://purl.obolibrary.org/obo/UBERON_0000981,0,1
http://purl.obolibrary.org/obo/UBERON_0000982,0,1
http://purl.obolibrary.org/obo/UBERON_0000985,0,1
http://purl.obolibrary.org/obo/UBERON_0000988,0,1
http://purl.obolibrary.org/obo/UBERON_0000989,0,1
http://purl.obolibrary.org/obo/UBERON_0000991,0,1
http://purl.obolibrary.org/obo/UBERON_0000992,0,1
http://purl.obolibrary.org/obo/UBERON_0000995,0,1
http://purl.obolibrary.org/obo/UBERON_0000996,0,1
http://purl.obolibrary.org/obo/UBERON_0000997,0,1
http://purl.obolibrary.org/obo/UBERON_0000998,0,1
http://purl.obolibrary.org/obo/UBERON_0000999,0,1
http://purl.obolibrary.org/obo/UBERON_0001000,0,1
http://purl.obolibrary.org/obo/UBERON_0001003,0,1
http://purl.obolibrary.org/obo/UBERON_0001004,0,1
http://purl.obolibrary.org/obo/UBERON_0001007,0,1
http://purl.obolibrary.org/obo/UBERON_0001008,0,1
http://purl.obolibrary.org/obo/UBERON_0001013,0,1
http://purl.obolibrary.org/obo/UBERON_0001016,0,1
http://purl.obolibrary.org/obo/UBERON_0001017,0,1
http://purl.obolibrary.org/obo/UBERON_0001021,0,1
http://purl.obolibrary.org/obo/UBERON_0001031,0,1
http://purl.obolibrary.org/obo/UBERON_0001043,0,1
http://purl.obolibrary.org/obo/UBERON_0001044,0,1
http://purl.obolibrary.org/obo/UBERON_0001051,0,1
http://purl.obolibrary.org/obo/UBERON_0001052,0,1
http://purl.obolibrary.org/obo/UBERON_0001057,1,0
http://purl.obolibrary.org/obo/UBERON_0001066,0,1
http://purl.obolibrary.org/obo/UBERON_0001067,0,1
http://purl.obolibrary.org/obo/UBERON_0001070,0,1
http://purl.obolibrary.org/obo/UBERON_0001072,0,1
http://purl.obolibrary.org/obo/UBERON_0001075,0,1
http://purl.obolibrary.org/obo/UBERON_0001090,0,1
http://purl.obolibrary.org/obo/UBERON_0001092,0,1
http://purl.obolibrary.org/obo/UBERON_0001093,0,1
http://purl.obolibrary.org/obo/UBERON_0001103,0,1
http://purl.obolibrary.org/obo/UBERON_0001105,0,1
http://purl.obolibrary.org/obo/UBERON_0001111,0,1
http://purl.obolibrary.org/obo/UBERON_0001130,0,1
http://purl.obolibrary.org/obo/UBERON_0001135,0,1
http://purl.obolibrary.org/obo/UBERON_0001140,0,1
http://purl.obolibrary.org/obo/UBERON_0001143,0,1
http://purl.obolibrary.org/obo/UBERON_0001148,0,1
http://purl.obolibrary.org/obo/UBERON_0001152,0,1
http://purl.obolibrary.org/obo/UBERON_0001153,0,1
http://purl.obolibrary.org/obo/UBERON_0001154,0,1
http://purl.obolibrary.org/obo/UBERON_0001155,0,1
http://purl.obolibrary.org/obo/UBERON_0001156,0,1
http://purl.obolibrary.org/obo/UBERON_0001157,0,1
http://purl.obolibrary.org/obo/UBERON_0001158,0,1
http://purl.obolibrary.org/obo/UBERON_0001159,0,1
http://purl.obolibrary.org/obo/UBERON_0001160,0,1
http://purl.obolibrary.org/obo/UBERON_0001162,0,1
http://purl.obolibrary.org/obo/UBERON_0001165,0,1
http://purl.obolibrary.org/obo/UBERON_0001166,0,1
http://purl.obolibrary.org/obo/UBERON_0001173,0,1
http://purl.obolibrary.org/obo/UBERON_0001174,0,1
http://purl.obolibrary.org/obo/UBERON_0001175,0,1
http://purl.obolibrary.org/obo/UBERON_0001182,0,1
http://purl.obolibrary.org/obo/UBERON_0001183,0,1
http://purl.obolibrary.org/obo/UBERON_0001184,0,1
http://purl.obolibrary.org/obo/UBERON_0001193,0,1
http://purl.obolibrary.org/obo/UBERON_0001194,0,1
http://purl.obolibrary.org/obo/UBERON_0001199,0,1
http://purl.obolibrary.org/obo/UBERON_0001211,0,1
http://purl.obolibrary.org/obo/UBERON_0001212,0,1
http://purl.obolibrary.org/obo/UBERON_0001224,0,1
http://purl.obolibrary.org/obo/UBERON_0001225,0,1
http://purl.obolibrary.org/obo/UBERON_0001230,0,1
http://purl.obolibrary.org/obo/UBERON_0001232,0,1
http://purl.obolibrary.org/obo/UBERON_0001235,0,1
http://purl.obolibrary.org/obo/UBERON_0001236,0,1
http://purl.obolibrary.org/obo/UBERON_0001242,0,1
http://purl.obolibrary.org/obo/UBERON_0001255,0,1
http://purl.obolibrary.org/obo/UBERON_0001264,0,1
http://purl.obolibrary.org/obo/UBERON_0001267,0,1
http://purl.obolibrary.org/obo/UBERON_0001269,0,1
http://purl.obolibrary.org/obo/UBERON_0001273,0,1
http://purl.obolibrary.org/obo/UBERON_0001274,0,1
http://purl.obolibrary.org/obo/UBERON_0001275,0,1
http://purl.obolibrary.org/obo/UBERON_0001283,0,1
http://purl.obolibrary.org/obo/UBERON_0001285,0,1
http://purl.obolibrary.org/obo/UBERON_0001288,0,1
http://purl.obolibrary.org/obo/UBERON_0001295,0,1
http://purl.obolibrary.org/obo/UBERON_0001296,0,1
http://purl.obolibrary.org/obo/UBERON_0001300,0,1
http://purl.obolibrary.org/obo/UBERON_0001301,0,1
http://purl.obolibrary.org/obo/UBERON_0001305,0,1
http://purl.obolibrary.org/obo/UBERON_0001310,0,1
http://purl.obolibrary.org/obo/UBERON_0001322,0,1
http://purl.obolibrary.org/obo/UBERON_0001323,0,1
http://purl.obolibrary.org/obo/UBERON_0001332,0,1
http://purl.obolibrary.org/obo/UBERON_0001346,0,1
http://purl.obolibrary.org/obo/UBERON_0001347,0,1
http://purl.obolibrary.org/obo/UBERON_0001348,0,1
http://purl.obolibrary.org/obo/UBERON_0001350,0,1
http://purl.obolibrary.org/obo/UBERON_0001361,0,1
http://purl.obolibrary.org/obo/UBERON_0001365,0,1
http://purl.obolibrary.org/obo/UBERON_0001377,0,1
http://purl.obolibrary.org/obo/UBERON_0001384,0,1
http://purl.obolibrary.org/obo/UBERON_0001393,0,1
http://purl.obolibrary.org/obo/UBERON_0001394,0,1
http://purl.obolibrary.org/obo/UBERON_0001398,0,1
http://purl.obolibrary.org/obo/UBERON_0001404,0,1
http://purl.obolibrary.org/obo/UBERON_0001406,0,1
http://purl.obolibrary.org/obo/UBERON_0001423,0,1
