iri,id,name,aka,description
http://purl.obolibrary.org/obo/UBERON_0000946,UBERON_0000946,cardiac valve,heart valve; valve of heart,A membranous fold of the heart that prevents reflux of fluid.
http://purl.obolibrary.org/obo/UBERON_0000948,UBERON_0000948,heart,chambered heart; vertebrate heart,A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ.
http://purl.obolibrary.org/obo/UBERON_0001621,UBERON_0001621,coronary artery,coronary arterial tree,An artery that supplies the myocardium.
http://purl.obolibrary.org/obo/UBERON_0001625,UBERON_0001625,right coronary artery,,"Coronary artery which runs along the right side of the heart and predominantly supplies the mycocardium of the right side of the heart[Wikipedia,modified]."
http://purl.obolibrary.org/obo/UBERON_0001626,UBERON_0001626,left coronary artery,,"Coronary artery which runs along the left side of the heart and predominantly supplies the mycocardium of the left side of the heart[Wikipedia,modified]."
http://purl.obolibrary.org/obo/UBERON_0002078,UBERON_0002078,right cardiac atrium,cardiac right atrium; heart right atrium; right atrium; right atrium of heart; right cardiac atrium,"A cardiac atrium that is in the right side of the heart. It receives deoxygenated blood. In mammals, this comes from the superior and inferior vena cava and the coronary sinus, and pumps it into the right ventricle through the tricuspid valve."
http://purl.obolibrary.org/obo/UBERON_0002079,UBERON_0002079,left cardiac atrium,cardiac left atrium; heart left atrium; left atrium; left atrium of heart; left cardiac atrium; atrium sinistrum,"A cardiac atrium that is in the left side of the heart. It receives oxygenated blood from the pulmonary veins, In mammals this is pumped into the left ventricle, via the Mitral valve."
http://purl.obolibrary.org/obo/UBERON_0002080,UBERON_0002080,heart right ventricle,cardiac right ventricle; right ventricle; right ventricle of heart,A cardiac ventricle that is in the right side of the heart.
http://purl.obolibrary.org/obo/UBERON_0002081,UBERON_0002081,cardiac atrium,atrium; atria; atrium of heart; cardiac atria; heart atrium,Cardiac chamber in which blood enters the heart.
http://purl.obolibrary.org/obo/UBERON_0002082,UBERON_0002082,cardiac ventricle,heart ventricle; lower chamber of heart; ventricle of heart,Cardiac chamber through which blood leaves the heart.
http://purl.obolibrary.org/obo/UBERON_0002084,UBERON_0002084,heart left ventricle,cardiac left ventricle; left cardiac ventricle; left ventricle; left ventricle of heart,A cardiac ventricle that is in the left side of the heart.
