iri,id,name,aka,description
http://purl.obolibrary.org/obo/UBERON_0000074,UBERON_0000074,renal glomerulus,renal glomeruli,A capillary tuft which forms a close network with the visceral epithelium (podocytes) and the mesangium to form the filtration barrier and is surrounded by Bowman's capsule in nephrons of the vertebrate kidney[GO].
http://purl.obolibrary.org/obo/UBERON_0000362,UBERON_0000362,renal medulla,kidney medulla; medulla of kidney; medulla renalis; pyramides renales; renal medullae; renal medullae set; renal pyramids; renal pyramids set,The inner portion of the kidney consisting of the renal pyramids.
http://purl.obolibrary.org/obo/UBERON_0001224,UBERON_0001224,renal pelvis,kidney pelvis; pelvis of ureter,A funnel shaped proximal portion of the ureter that is formed by convergence of the major calices [MP].
http://purl.obolibrary.org/obo/UBERON_0001225,UBERON_0001225,cortex of kidney,kidney cortex; renal cortex; cortex renalis,"Outer cortical portion of the kidney, between the renal capsule and the renal medulla."
http://purl.obolibrary.org/obo/UBERON_0001226,UBERON_0001226,major calyx,calices renales majores; major calix,Portion of the urinary collecting system within the kidney that drains several minor calyces.
http://purl.obolibrary.org/obo/UBERON_0001227,UBERON_0001227,minor calyx,calices renales minores; minor calix,Portion of the urinary collecting system within the kidney that drains one renal papilla.
http://purl.obolibrary.org/obo/UBERON_0001228,UBERON_0001228,renal papilla,kidney papilla,Tip of renal pyramid projecting into a minor calyx.
http://purl.obolibrary.org/obo/UBERON_0001229,UBERON_0001229,renal corpuscle,Malpighian corpuscle; corpusculum renale; Malphigian corpuscle,The structure containing the glomerular capsule and the glomerulus that serves as the initial blood-filtering component of a nephron.
http://purl.obolibrary.org/obo/UBERON_0001231,UBERON_0001231,nephron tubule,kidney tubule; tubulus renalis,"An epithelial tube that is part of the nephron, the functional part of the kidney."
http://purl.obolibrary.org/obo/UBERON_0001232,UBERON_0001232,collecting duct of renal tubule,tubulus renalis colligens; tubulus renalis arcuatus; collecting duct; kidney collecting duct; renal collecting tubule,"The collecting duct is a portion of the nephron through which water flows, moving passively down its concentration gradient."
