iri,id,name,aka,description
http://id.nlm.nih.gov/mesh/M0009299,M0009299,Glomerular Mesangium,"Glomerular Mesangiums; Mesangiums, Glomerular",The thin membranous structure supporting the adjoining glomerular capillaries. It is composed of GLOMERULAR MESANGIAL CELLS and their EXTRACELLULAR MATRIX.
http://id.nlm.nih.gov/mesh/M0011890,M0011890,Juxtaglomerular Apparatus,"Apparatus, Juxtaglomerular","A complex of cells consisting of juxtaglomerular cells, extraglomerular mesangium lacis cells, the macula densa of the distal convoluted tubule, and granular epithelial peripolar cells. Juxtaglomerular cells are modified SMOOTH MUSCLE CELLS found in the walls of afferent glomerular arterioles and sometimes the efferent arterioles. Extraglomerular mesangium lacis cells are located in the angle between the afferent and efferent glomerular arterioles. Granular epithelial peripolar cells are located at the angle of reflection of the parietal to visceral angle of the renal corpuscle."
http://id.nlm.nih.gov/mesh/M0012006,M0012006,Kidney,,Body organ that filters blood for the secretion of URINE and that regulates ion concentrations.
http://id.nlm.nih.gov/mesh/M0012010,M0012010,Kidney Calices,"Calice, Kidney; Calices, Kidney; Kidney Calice","Recesses of the kidney pelvis which divides into two wide, cup-shaped major renal calices, with each major calix subdivided into 7 to 14 minor calices. Urine empties into a minor calix from collecting tubules, then passes through the major calix, renal pelvis, and ureter to enter the urinary bladder. (From Moore, Clinically Oriented Anatomy, 3d ed, p211)"
http://id.nlm.nih.gov/mesh/M0012012,M0012012,Kidney Cortex,"Cortex, Kidney","The outer zone of the KIDNEY, beneath the capsule, consisting of KIDNEY GLOMERULUS; KIDNEY TUBULES, DISTAL; and KIDNEY TUBULES, PROXIMAL."
http://id.nlm.nih.gov/mesh/M0012018,M0012018,Kidney Glomerulus,"Glomerulus, Kidney",A cluster of convoluted capillaries beginning at each nephric tubule in the kidney and held together by connective tissue.
http://id.nlm.nih.gov/mesh/M0012019,M0012019,Kidney Medulla,"Kidney Medullas; Medulla, Kidney; Medullas, Kidney","The internal portion of the kidney, consisting of striated conical masses, the renal pyramids, whose bases are adjacent to the cortex and whose apices form prominent papillae projecting into the lumen of the minor calyces."
http://id.nlm.nih.gov/mesh/M0012023,M0012023,Kidney Pelvis,"Pelvis, Kidney","The flattened, funnel-shaped expansion connecting the URETER to the KIDNEY CALICES."
http://id.nlm.nih.gov/mesh/M0012025,M0012025,Kidney Tubules,"Kidney Tubule; Tubule, Kidney; Tubules, Kidney",Long convoluted tubules in the nephrons. They collect filtrate from blood passing through the KIDNEY GLOMERULUS and process this filtrate into URINE. Each renal tubule consists of a BOWMAN CAPSULE; PROXIMAL KIDNEY TUBULE; LOOP OF HENLE; DISTAL KIDNEY TUBULE; and KIDNEY COLLECTING DUCT leading to the central cavity of the kidney (KIDNEY PELVIS) that connects to the URETER.
http://id.nlm.nih.gov/mesh/M0012026,M0012026,"Kidney Tubules, Collecting",,Straight tubes commencing in the radiate part of the kidney cortex where they receive the curved ends of the distal convoluted tubules. In the medulla the collecting tubules of each pyramid converge to join a central tube (duct of Bellini) which opens on the summit of the papilla.
http://id.nlm.nih.gov/mesh/M0012027,M0012027,"Kidney Tubules, Distal","Distal Kidney Tubules; Kidney Tubule, Distal; Tubule, Distal Kidney; Tubules, Distal Kidney",The portion of renal tubule that begins from the enlarged segment of the ascending limb of the LOOP OF HENLE. It reenters the KIDNEY CORTEX and forms the convoluted segments of the distal tubule.
http://id.nlm.nih.gov/mesh/M0012028,M0012028,"Kidney Tubules, Proximal","Kidney Tubule, Proximal; Proximal Kidney Tubules; Tubule, Proximal Kidney; Tubules, Proximal Kidney","The renal tubule portion that extends from the BOWMAN CAPSULE in the KIDNEY CORTEX into the KIDNEY MEDULLA. The proximal tubule consists of a convoluted proximal segment in the cortex, and a distal straight segment descending into the medulla where it forms the U-shaped LOOP OF HENLE."
http://id.nlm.nih.gov/mesh/M0012691,M0012691,Loop of Henle,Henle Loop,"The U-shaped portion of the renal tubule in the KIDNEY MEDULLA, consisting of a descending limb and an ascending limb. It is situated between the PROXIMAL KIDNEY TUBULE and the DISTAL KIDNEY TUBULE."
http://id.nlm.nih.gov/mesh/M0014633,M0014633,Nephrons,Nephron,"The functional units of the kidney, consisting of the glomerulus and the attached tubule."
http://id.nlm.nih.gov/mesh/M0473246,M0473246,Podocytes,Podocyte,"Highly differentiated epithelial cells of the visceral layer of BOWMAN CAPSULE of the KIDNEY. They are composed of a cell body with major CELL SURFACE EXTENSIONS and secondary fingerlike extensions called pedicels. They enwrap the KIDNEY GLOMERULUS capillaries with their cell surface extensions forming a filtration structure. The pedicels of neighboring podocytes interdigitate with each other leaving between them filtration slits that are bridged by an extracellular structure impermeable to large macromolecules called the slit diaphragm, and provide the last barrier to protein loss in the KIDNEY."
http://id.nlm.nih.gov/mesh/M0475586,M0475586,Bowman Capsule,"Capsule, Bowman",A double-walled epithelial capsule that is the bulbous closed proximal end of the kidney tubular system. It surrounds the cluster of convoluted capillaries of KIDNEY GLOMERULUS and is continuous with the convoluted PROXIMAL KIDNEY TUBULE.
