source,target,rank,score
M0000009,UBERON_0002378,1,0.9315535970035478
M0000009,UBERON_0002343,2,0.9261487409587928
M0000009,UBERON_0002461,3,0.9138327734368493
M0000010,UBERON_2000629,1,0.8699437457724611
M0000010,UBERON_0001646,2,0.916753939376855
M0000010,UBERON_0009908,3,0.8619893567004415
M0000076,CL_0017503,1,0.6012074735536439
M0000076,CL_0002155,2,0.6816712774098346
M0000076,CL_0000000,3,0.5663676112613499
M0000081,UBERON_0009674,1,0.8936101244153529
M0000081,UBERON_0006117,2,0.8762735908552074
M0000081,UBERON_0002019,3,0.92992487282202
M0000110,UBERON_0001269,1,0.9336065954182676
M0000110,UBERON_0014445,2,0.868964503444278
M0000110,UBERON_0001486,3,0.8566197760930373
M0000199,UBERON_0001450,1,0.7778104459659584
M0000199,UBERON_0003701,2,0.8916563521471358
M0000199,UBERON_0000043,3,0.7761230734887313
M0000241,UBERON_0001648,1,0.9481462566288391
M0000241,UBERON_0003723,2,0.9436385537920043
M0000241,UBERON_0002731,3,0.890543449156161
M0000262,UBERON_0016884,1,0.8472207256839434
M0000262,UBERON_0003692,2,0.9267635243650342
M0000262,UBERON_4200008,3,0.8438294437860556
M0000263,UBERON_0007171,1,0.8838453995489787
M0000263,UBERON_3000811,2,0.8403473280230978
M0000263,UBERON_0003692,3,0.875669284288849
M0000267,CL_4030037,1,0.7612953596027877
M0000267,UBERON_0000086,2,0.746692111565864
M0000267,CL_0000019,3,0.7417757361737822
M0000365,UBERON_0002372,1,0.738203565817874
M0000365,UBERON_0008310,2,0.8205328285961245
M0000365,UBERON_0001732,3,0.8497670138884449
M0000425,UBERON_0001347,1,0.8790677086787586
M0000425,CL_0000449,2,0.8773217530221628
M0000425,UBERON_0001013,3,0.9250790572326364
M0000455,UBERON_0036292,1,0.9151687607799628
M0000455,UBERON_0012331,2,0.8340801850839021
M0000455,UBERON_0006589,3,0.8255344794759264
M0000476,UBERON_0001235,1,0.9214864683220912
M0000476,CL_0002097,2,0.8593628475219097
M0000476,UBERON_0009753,3,0.9152629886871321
M0000486,UBERON_0002369,1,0.9359249080286952
M0000486,UBERON_0006858,2,0.9101109336546395
M0000486,UBERON_0018303,3,0.8935140596847764
M0000489,UBERON_0001236,1,0.8944232864118513
M0000489,CL_1000427,2,0.8562770052247269
M0000489,UBERON_0035826,3,0.8479393942939555
M0000496,UBERON_0011926,1,0.7771655037009252
M0000496,UBERON_0011929,2,0.761046503917867
M0000496,UBERON_0011927,3,0.7812236058459774
M0000529,CL_0000101,1,0.7561769579872195
M0000529,UBERON_0001027,2,0.7952436607125457
M0000529,CL_0000526,3,0.8015887094941778
M0000834,UBERON_0004527,1,0.9000945698853985
M0000834,UBERON_0004103,2,0.8906818823416501
M0000834,UBERON_0004528,3,0.8583467110355666
M0001044,UBERON_0001876,1,0.9124556406811181
M0001044,UBERON_0002883,2,0.863908605200734
M0001044,UBERON_0022229,3,0.8456235412165642
M0001253,UBERON_0012076,1,0.8740050763365605
M0001253,UBERON_4200090,2,0.8215872880675406
M0001253,UBERON_0011113,3,0.8303273965292116
M0001297,UBERON_0006311,1,0.8760021153073575
M0001297,UBERON_0001766,2,0.9172332760717857
M0001297,UBERON_0001796,3,0.8490257207279149
M0001299,UBERON_0001766,1,0.856671410023033
M0001299,UBERON_0001801,2,0.858623623303545
M0001299,UBERON_0006311,3,0.8084648933867755
M0001300,UBERON_0002257,1,0.8114607969950867
M0001300,CL_2000048,2,0.8935841213554152
M0001300,UBERON_0030276,3,0.7663016803295865
M0001371,CL_0000945,1,0.8298520468334735
M0001371,CL_0000985,2,0.8174525892616177
M0001371,CL_0000946,3,0.8294472252572821
M0001402,CL_0000145,1,0.853973957948227
M0001402,CL_0000451,2,0.8096848133813734
M0001402,CL_0001056,3,0.8043586857476822
M0001526,UBERON_0000159,1,0.9174073852773512
M0001526,CL_1000438,2,0.8756323351658761
M0001526,UBERON_0003342,3,0.8885122673092963
M0001539,UBERON_0000947,1,0.9082304214774786
M0001539,UBERON_0010191,2,0.8553470343377589
M0001539,UBERON_0016920,3,0.8201525700607039
M0001541,UBERON_0001516,1,0.9190360125546464
M0001541,UBERON_0012254,2,0.9186209265112716
M0001541,UBERON_0010191,3,0.8065293838424463
M0001542,UBERON_0001515,1,0.9017129782698252
M0001542,UBERON_0002345,2,0.9224010768883916
M0001542,UBERON_0016920,3,0.8399417292374523
M0001548,UBERON_0034971,1,0.9013033311126967
M0001548,CL_0000206,2,0.7595232870664859
M0001548,UBERON_0001629,3,0.7228210149453761
M0001553,UBERON_0002137,1,0.9043352481646687
M0001553,UBERON_0011742,2,0.8656552536276396
M0001553,UBERON_0005991,3,0.8480604093162859
M0001590,UBERON_0000382,1,0.8808124991562665
M0001590,UBERON_0012177,2,0.8804046704431722
M0001590,CL_0000033,3,0.8685130225600266
M0001611,UBERON_0001154,1,0.8235878325630716
M0001611,CL_0009026,2,0.8344217431579878
M0001611,UBERON_0009697,3,0.8294157277406634
M0001636,UBERON_0001796,1,0.967191903361877
M0001636,UBERON_0003956,2,0.8624913540202573
M0001636,UBERON_0004030,3,0.836057412143437
M0001655,UBERON_0002362,1,0.9238154877014767
M0001655,UBERON_0003560,2,0.8555538929967023
M0001655,UBERON_0005397,3,0.8470853190425367
M0001670,UBERON_0001932,1,0.9092126729557037
M0001670,UBERON_0002865,2,0.8267669927110619
M0001670,UBERON_0001898,3,0.8022957768046381
M0001698,UBERON_0006849,1,0.8145254625759165
M0001698,UBERON_4000171,2,0.8039315333150617
M0001698,UBERON_3000818,3,0.8061500654891215
M0001699,UBERON_0004250,1,0.8785293441216926
M0001699,UBERON_0003460,2,0.8787059405230646
M0001699,UBERON_0006715,3,0.834746272042876
M0001731,UBERON_0004572,1,0.8539236168860895
M0001731,UBERON_0001981,2,0.8130142102291689
M0001731,UBERON_0003509,3,0.9054962289702325
M0001733,UBERON_0001980,1,0.9237533125696964
M0001733,UBERON_0004236,2,0.8274492122723763
M0001733,UBERON_0003509,3,0.8357316842887391
M0001736,UBERON_0010523,1,0.7215132570411539
M0001736,UBERON_0003514,2,0.7267727255967863
M0001736,UBERON_0035549,3,0.7175469712508697
M0001782,UBERON_0001740,1,0.9488189853867515
M0001782,UBERON_0010212,2,0.9234413104895176
M0001782,UBERON_0006326,3,0.898406915559042
M0001890,CL_4042008,1,0.8471069201344773
M0001890,CL_0000125,2,0.8247545040897929
M0001890,CL_0000127,3,0.9054536853116429
M0001911,UBERON_0003996,1,0.8485386546380723
M0001911,UBERON_0003694,2,0.8825157543295797
M0001911,UBERON_0000220,3,0.8364221835700426
M0001912,UBERON_0000220,1,0.9465848432679378
M0001912,UBERON_0017157,2,0.8990457717455635
M0001912,UBERON_0003694,3,0.8304218634755595
M0001913,UBERON_0005814,1,0.8611675800552803
M0001913,UBERON_0001092,2,0.8969724639370322
M0001913,UBERON_0007811,3,0.8670951019988528
M0001928,UBERON_0002352,1,0.9204379486278481
M0001928,UBERON_0011820,2,0.9033553771134913
M0001928,CL_1000410,3,0.8536570543346895
M0001963,UBERON_0034752,1,0.8660586088271914
M0001963,UBERON_0001393,2,0.8650510854838883
M0001963,UBERON_0034751,3,0.8454511380589799
M0001967,UBERON_0035295,1,0.8056585552781346
M0001967,UBERON_0016490,2,0.8067194421757274
M0001967,UBERON_0001720,3,0.7612157302774051
M0002008,UBERON_0011924,1,0.9247215061480448
M0002008,UBERON_0011929,2,0.8979197026495555
M0002008,UBERON_0011925,3,0.8963618317968295
M0002009,UBERON_0011925,1,0.9039824979414066
M0002009,UBERON_0011927,2,0.8707236778074593
M0002009,UBERON_0011924,3,0.874915466626567
M0002013,UBERON_0002410,1,0.8999116209358768
M0002013,UBERON_0000013,2,0.8317817382420427
M0002013,UBERON_0034729,3,0.822041609922707
