subject_id,subject_label,predicate_id,object_id,object_label,comment,mapping_justification
http://purl.obolibrary.org/obo/UBERON_0000002,uterine cervix,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0003947,Cervix Uteri,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000006,islet of Langerhans,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0011741,Islets of Langerhans,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000010,peripheral nervous system,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0027092,Peripheral Nervous System,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000014,zone of skin,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0019925,Skin,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000017,exocrine pancreas,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0336842,"Pancreas, Exocrine","",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000019,camera-type eye,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0008082,Eye,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000029,lymph node,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0012781,Lymph Nodes,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000038,follicular fluid,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0023922,Follicular Fluid,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000044,dorsal root ganglion,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0008981,"Ganglia, Spinal","",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000045,ganglion,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0008978,Ganglia,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000052,fornix of brain,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0328482,"Fornix, Brain","",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000056,ureter,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0022322,Ureter,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000057,urethra,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0022331,Urethra,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0011584,"Intestine, Large","",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000074,renal glomerulus,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0012018,Kidney Glomerulus,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0009164,"Genitalia, Male","",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000086,zona pellucida,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0023153,Zona Pellucida,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000156,theca externa,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0021274,Theca Cells,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000157,theca interna,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0021274,Theca Cells,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000159,anal canal,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0001526,Anal Canal,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000160,intestine,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0011586,Intestines,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000165,mouth,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0014126,Mouth,"",semapv:LogicalReasoning
http://purl.obolibrary.org/obo/UBERON_0000167,oral cavity,skos:exactMatch,http://id.nlm.nih.gov/mesh/M0014126,Mouth,"",semapv:LogicalReasoning
