iri,id,name,aka,description
http://id.nlm.nih.gov/mesh/M0000009,M0000009,Abdominal Muscles,"Abdominal Muscle; Muscle, Abdominal; Muscles, Abdominal","Muscles forming the ABDOMINAL WALL including RECTUS ABDOMINIS; ABDOMINAL OBLIQUE MUSCLES, transversus abdominis, pyramidalis muscles and quadratus abdominis."
http://id.nlm.nih.gov/mesh/M0000010,M0000010,Abducens Nerve,"Nerve, Abducens",The 6th cranial nerve which originates in the ABDUCENS NUCLEUS of the PONS and sends motor fibers to the lateral rectus muscles of the EYE. Damage to the nerve or its nucleus disrupts horizontal eye movement control.
http://id.nlm.nih.gov/mesh/M0000076,M0000076,Acanthocytes,Acanthocyte,Erythrocytes with protoplasmic projections giving the cell a thorny appearance.
http://id.nlm.nih.gov/mesh/M0000081,M0000081,Accessory Nerve,"Accessory Nerves; Nerve, Accessory; Nerves, Accessory","The 11th cranial nerve which originates from NEURONS in the MEDULLA and in the CERVICAL SPINAL CORD. It has a cranial root, which joins the VAGUS NERVE (10th cranial) and sends motor fibers to the muscles of the LARYNX, and a spinal root, which sends motor fibers to the TRAPEZIUS and the sternocleidomastoid muscles."
http://id.nlm.nih.gov/mesh/M0000110,M0000110,Acetabulum,Acetabulums,The part of the pelvis that comprises the pelvic socket where the head of FEMUR joins to form HIP JOINT (acetabulofemoral joint).
http://id.nlm.nih.gov/mesh/M0000199,M0000199,Achilles Tendon,"Tendon, Achilles",Tendon that connects the muscles in the back of the calf to the HEEL BONE.
http://id.nlm.nih.gov/mesh/M0000241,M0000241,Vestibulocochlear Nerve,"Nerve, Vestibulocochlear; Nerves, Vestibulocochlear; Vestibulocochlear Nerves",The 8th cranial nerve. The vestibulocochlear nerve has a cochlear part (COCHLEAR NERVE) which is concerned with hearing and a vestibular part (VESTIBULAR NERVE) which mediates the sense of balance and head position. The fibers of the cochlear nerve originate from neurons of the SPIRAL GANGLION and project to the cochlear nuclei (COCHLEAR NUCLEUS). The fibers of the vestibular nerve arise from neurons of Scarpa's ganglion and project to the VESTIBULAR NUCLEI.
http://id.nlm.nih.gov/mesh/M0000262,M0000262,Acromioclavicular Joint,"Acromioclavicular Joints; Joint, Acromioclavicular; Joints, Acromioclavicular",The gliding joint formed by the outer extremity of the CLAVICLE and the inner margin of the ACROMION PROCESS of the SCAPULA.
http://id.nlm.nih.gov/mesh/M0000263,M0000263,Acromion,Acromions,The lateral extension of the spine of the SCAPULA and the highest point of the SHOULDER.
http://id.nlm.nih.gov/mesh/M0000267,M0000267,Acrosome,Acrosomes,"The cap-like structure covering the anterior portion of SPERM HEAD. Acrosome, derived from LYSOSOMES, is a membrane-bound organelle that contains the required hydrolytic and proteolytic enzymes necessary for sperm penetration of the egg in FERTILIZATION."
http://id.nlm.nih.gov/mesh/M0000365,M0000365,Adenoids,Adenoid,A collection of lymphoid nodules on the posterior wall and roof of the NASOPHARYNX.
http://id.nlm.nih.gov/mesh/M0000425,M0000425,Adipose Tissue,"Tissue, Adipose","Specialized connective tissue composed of fat cells (ADIPOCYTES). It is the site of stored FATS, usually in the form of TRIGLYCERIDES. In mammals, there are two types of adipose tissue, the WHITE FAT and the BROWN FAT. Their relative distributions vary in different species with most adipose tissue being white."
http://id.nlm.nih.gov/mesh/M0000455,M0000455,Adnexa Uteri,,"Appendages of the UTERUS which include the FALLOPIAN TUBES, the OVARY, and the supporting ligaments of the uterus (BROAD LIGAMENT; ROUND LIGAMENT)."
http://id.nlm.nih.gov/mesh/M0000476,M0000476,Adrenal Cortex,"Cortex, Adrenal","The outer layer of the adrenal gland. It is derived from MESODERM and comprised of three zones (outer ZONA GLOMERULOSA, middle ZONA FASCICULATA, and inner ZONA RETICULARIS) with each producing various steroids preferentially, such as ALDOSTERONE; HYDROCORTISONE; DEHYDROEPIANDROSTERONE; and ANDROSTENEDIONE. Adrenal cortex function is regulated by pituitary ADRENOCORTICOTROPIN."
http://id.nlm.nih.gov/mesh/M0000486,M0000486,Adrenal Glands,"Adrenal Gland; Gland, Adrenal; Glands, Adrenal","A pair of glands located at the cranial pole of each of the two KIDNEYS. Each adrenal gland is composed of two distinct endocrine tissues with separate embryonic origins, the ADRENAL CORTEX producing STEROIDS and the ADRENAL MEDULLA producing NEUROTRANSMITTERS."
http://id.nlm.nih.gov/mesh/M0000489,M0000489,Adrenal Medulla,"Adrenal Medullas; Medulla, Adrenal; Medullas, Adrenal","The inner portion of the adrenal gland. Derived from ECTODERM, adrenal medulla consists mainly of CHROMAFFIN CELLS that produces and stores a number of NEUROTRANSMITTERS, mainly adrenaline (EPINEPHRINE) and NOREPINEPHRINE. The activity of the adrenal medulla is regulated by the SYMPATHETIC NERVOUS SYSTEM."
http://id.nlm.nih.gov/mesh/M0000496,M0000496,Adrenergic Fibers,"Adrenergic Fiber; Fiber, Adrenergic; Fibers, Adrenergic",Nerve fibers liberating catecholamines at a synapse after an impulse.
http://id.nlm.nih.gov/mesh/M0000529,M0000529,Afferent Pathways,"Afferent Pathway; Pathway, Afferent; Pathways, Afferent",Nerve structures through which impulses are conducted from a peripheral part toward a nerve center.
http://id.nlm.nih.gov/mesh/M0000834,M0000834,Alveolar Process,"Alveolar Processes; Process, Alveolar; Processes, Alveolar",The thickest and spongiest part of the maxilla and mandible hollowed out into deep cavities for the teeth.
http://id.nlm.nih.gov/mesh/M0001044,M0001044,Amygdala,,Almond-shaped group of basal nuclei anterior to the INFERIOR HORN OF THE LATERAL VENTRICLE of the TEMPORAL LOBE. The amygdala is part of the limbic system.
http://id.nlm.nih.gov/mesh/M0001253,M0001253,Ankle Joint,"Ankle Joints; Joint, Ankle; Joints, Ankle","The joint that is formed by the inferior articular and malleolar articular surfaces of the TIBIA; the malleolar articular surface of the FIBULA; and the medial malleolar, lateral malleolar, and superior surfaces of the TALUS."
http://id.nlm.nih.gov/mesh/M0001297,M0001297,Anterior Chamber,"Anterior Chambers; Chamber, Anterior; Chambers, Anterior","The space in the eye, filled with aqueous humor, bounded anteriorly by the cornea and a small portion of the sclera and posteriorly by a small portion of the ciliary body, the iris, and that part of the crystalline lens which presents through the pupil. (Cline et al., Dictionary of Visual Science, 4th ed, p109)"
http://id.nlm.nih.gov/mesh/M0001299,M0001299,Anterior Eye Segment,"Anterior Eye Segments; Eye Segment, Anterior; Eye Segments, Anterior; Segment, Anterior Eye; Segments, Anterior Eye",The front third of the eyeball that includes the structures between the front surface of the cornea and the front of the VITREOUS BODY.
http://id.nlm.nih.gov/mesh/M0001300,M0001300,Anterior Horn Cells,"Anterior Horn Cell; Cell, Anterior Horn; Cells, Anterior Horn",MOTOR NEURONS in the anterior (ventral) horn of the SPINAL CORD which project to SKELETAL MUSCLES.
http://id.nlm.nih.gov/mesh/M0001371,M0001371,Antibody-Producing Cells,Antibody Producing Cells,"Cells of the lymphoid series that can react with antigen to produce specific cell products called antibodies. Various cell subpopulations, often B-lymphocytes, can be defined, based on the different classes of immunoglobulins that they synthesize."
