source,target,rank,score
UBERON_0001113,M000606073,1,0.730025825749164
UBERON_0001113,M0002483,2,0.6773060780514166
UBERON_0001113,M0002477,3,0.5869361457638426
UBERON_0001114,M0002483,1,0.6471202970062896
UBERON_0001114,M000606073,2,0.5667358148952084
UBERON_0001114,M0002477,3,0.5124146603800547
UBERON_0001115,M0002483,1,0.6989906132358625
UBERON_0001115,M0012632,2,0.6514064848573055
UBERON_0001115,M0002477,3,0.6284928736440112
UBERON_0001116,M0002477,1,0.6685491196808876
UBERON_0001116,M0002483,2,0.6567160029293052
UBERON_0001116,M000606073,3,0.5908808862888101
UBERON_0001117,M0002483,1,0.6078236139382577
UBERON_0001117,M000606073,2,0.5124648223309312
UBERON_0001117,M0002477,3,0.5402611537239104
UBERON_0001143,M0002483,1,0.62692891572195
UBERON_0001143,M0012632,2,0.6107240905548627
UBERON_0001143,M0002477,3,0.5954785558184182
UBERON_0001149,M000606073,1,0.6583589648199742
UBERON_0001149,M0002483,2,0.6554178247607768
UBERON_0001149,M0002477,3,0.5495875458749496
UBERON_0001247,M000606073,1,0.7218262722501311
UBERON_0001247,M0002483,2,0.6432842574790738
UBERON_0001247,M0002477,3,0.5237845970339462
UBERON_0001279,M0002483,1,0.6972262796836799
UBERON_0001279,M0002477,2,0.6662776592542905
UBERON_0001279,M0012632,3,0.6217441497060266
UBERON_0001280,M0002477,1,0.6867714732369012
UBERON_0001280,M0012632,2,0.6551495622559184
UBERON_0001280,M0002483,3,0.7099755833069825
UBERON_0001281,M0002477,1,0.6451794552537143
UBERON_0001281,M0012632,2,0.5864761705061969
UBERON_0001281,M000606073,3,0.5535573122673187
UBERON_0001282,M0002483,1,0.8257096812157564
UBERON_0001282,M0002477,2,0.8148324654358403
UBERON_0001282,M000606073,3,0.5620638323047048
UBERON_0002107,M0002483,1,0.5913246990290055
UBERON_0002107,M0012632,2,0.8380838942079266
UBERON_0002107,M0002477,3,0.5868835168252539
UBERON_0004058,M0002483,1,0.8158947828473081
UBERON_0004058,M0012632,2,0.5591415573439625
UBERON_0004058,M0002477,3,0.7262607402633882
UBERON_0004647,M0002477,1,0.6671282531812928
UBERON_0004647,M000606073,2,0.65695614062896
UBERON_0004647,M0002483,3,0.6957786302987498
UBERON_0005452,M0002483,1,0.6408746134549217
UBERON_0005452,M000606073,2,0.7444676881584822
UBERON_0005452,M0002477,3,0.617045727242472
UBERON_0006588,M000606073,1,0.8435976147781746
UBERON_0006588,M0002483,2,0.5844194070026686
UBERON_0006588,M0002477,3,0.5273240204589064
UBERON_0006727,M0012632,1,0.5797759882034119
UBERON_0006727,M0002483,2,0.5609222157173583
UBERON_0006727,M0002477,3,0.5188686366312809
UBERON_0006728,M000606073,1,0.7008387815795293
UBERON_0006728,M0002483,2,0.6888225857586889
UBERON_0006728,M0002477,3,0.6450842269995251
UBERON_0006729,M0002483,1,0.655977579537101
UBERON_0006729,M000606073,2,0.5749752311850245
UBERON_0006729,M0002477,3,0.6516934354015372
UBERON_0006841,M000606073,1,0.5764534121187052
UBERON_0006841,M0012632,2,0.6096617024269438
UBERON_0006841,M0002483,3,0.573605027990464
UBERON_0011955,M0012632,1,0.6719879504917465
UBERON_0011955,M000606073,2,0.7235357226979573
UBERON_0011955,M0002483,3,0.7160232450307866
UBERON_0011956,M0002483,1,0.6952272995543365
UBERON_0011956,M000606073,2,0.6377731528099542
UBERON_0011956,M0002477,3,0.6036652773787956
UBERON_0011957,M000606073,1,0.6589897401743845
UBERON_0011957,M0002483,2,0.647483444604039
UBERON_0011957,M0002477,3,0.6108429435770013
UBERON_0013138,M000606073,1,0.63726636721656
UBERON_0013138,M0002483,2,0.602859725516676
UBERON_0013138,M0002477,3,0.5202027241078881
UBERON_0013139,M000606073,1,0.7777836787545
UBERON_0013139,M0002483,2,0.6367671446876935
UBERON_0013139,M0002477,3,0.5250913732347643
UBERON_0015481,M0002483,1,0.6689166794093183
UBERON_0015481,M000606073,2,0.5786161797379793
UBERON_0015481,M0002477,3,0.5890339353312157
UBERON_0015482,M000606073,1,0.6047752431309534
UBERON_0015482,M0012632,2,0.5648265608651191
UBERON_0015482,M0002483,3,0.5816740030221735
UBERON_0015796,M0002477,1,0.6349084360258831
UBERON_0015796,M0012632,2,0.6159776399820164
UBERON_0015796,M000606073,3,0.6264132345262062
UBERON_0016478,M0002483,1,0.7148650564486205
UBERON_0016478,M000606073,2,0.6773037768386574
UBERON_0016478,M0002477,3,0.637119372169611
UBERON_0016479,M0002483,1,0.5762467626130844
UBERON_0016479,M000606073,2,0.6915682453828105
UBERON_0016479,M0002477,3,0.5608396906995394
UBERON_0035444,M000606073,1,0.6814951672151865
UBERON_0035444,M0002483,2,0.5628846110464663
UBERON_0035444,M0002477,3,0.5039331829865699
UBERON_0039222,M0002483,1,0.6317657465254736
UBERON_0039222,M0002477,2,0.5947502104277506
