id,content
M0001553,"Aortic Valvealso known as Aortic Valves; Valve, Aortic; Valves, Aortic The valve between the left ventricle and the ascending aorta which prevents backflow into the left ventricle."
M0001928,"Atrioventricular Nodealso known as Atrioventricular Nodes; Node, Atrioventricular; Nodes, Atrioventricular A small nodular mass of specialized muscle fibers located in the interatrial septum near the opening of the coronary sinus. It gives rise to the atrioventricular bundle of the conduction system of the heart."
M0003026,"Bundle of Hisalso known as His Bundle Small band of specialized CARDIAC MUSCLE fibers that originates in the ATRIOVENTRICULAR NODE and extends into the membranous part of the interventricular septum. The bundle of His, consisting of the left and the right bundle branches, conducts the electrical impulses to the HEART VENTRICLES in generation of MYOCARDIAL CONTRACTION."
M0004331,"Chordae Tendineaealso known as Tendineae, Chordae The tendinous cords that connect each cusp of the two atrioventricular HEART VALVES to appropriate PAPILLARY MUSCLES in the HEART VENTRICLES, preventing the valves from reversing themselves when the ventricles contract."
M000605189,"Pericardial Fluidalso known as Fluid, Pericardial; Fluids, Pericardial; Pericardial Fluids Watery fluid produced in the serous and visceral pericardium surrounding the surface of the HEART."
M0006876,"Ductus Arteriosusalso known as Arteriosus, Ductus A fetal blood vessel connecting the pulmonary artery with the descending aorta."
M0007395,"Endocardiumalso known as Endocardiums The innermost layer of the heart, comprised of endothelial cells."
M0008401,"Fetal Heartalso known as Fetal Hearts; Heart, Fetal; Hearts, Fetal The heart of the fetus of any viviparous animal. It refers to the heart in the postembryonic period and is differentiated from the embryonic heart (HEART/embryology) only on the basis of time."
M0009936,"Heart The hollow, muscular organ that maintains the circulation of the blood."
M0009941,"Heart Atriaalso known as Atria, Heart The chambers of the heart, to which the BLOOD returns from the circulation."
M0009948,"Heart Conduction Systemalso known as Conduction System, Heart; Conduction Systems, Heart; Heart Conduction Systems; System, Heart Conduction; Systems, Heart Conduction An impulse-conducting system composed of modified cardiac muscle, having the power of spontaneous rhythmicity and conduction more highly developed than the rest of the heart."
M0009968,Foramen Ovale An opening in the wall between the right and the left upper chambers (HEART ATRIA) of a fetal heart. Oval foramen normally closes soon after birth; when it fails to close the condition is called PATENT OVAL FORAMEN.
M0009969,"Heart Septumalso known as Septum, Heart This structure includes the thin muscular atrial septum between the two HEART ATRIA, and the thick muscular ventricular septum between the two HEART VENTRICLES."
